Year,Make,Model,Mileage,Price,Drive,Engine,Trim,Exterior_color,Interior_color,Location,Accidents
2019,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Portland, OR",0
2019,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Portland, OR",0
2019,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Portland, OR",0
2019,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Portland, OR",0
2020,Acura,TLX,0,40795,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fairfield, CA",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fairfield, CA",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fairfield, CA",0
2020,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,36600,FWD,3.5L V-6,3.5L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Stockton, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Stockton, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,37100,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Concord, CA",0
2020,Acura,TLX,0,41525,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Concord, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Concord, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,40395,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package Red Leather,,,"Oakland, CA",0
2020,Acura,TLX,0,40795,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Oakland, CA",0
2020,Acura,TLX,0,40795,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package Red Leather,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,55419,SH-AWD,3.5L V-6,3.5L SH-AWD with Advance Package,,,"Modesto, CA",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fremont, CA",0
2020,Acura,TLX,0,34395,FWD,2.4L Inline-4,2.4L FWD,,,"Fremont, CA",0
2020,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Fremont, CA",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Fremont, CA",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package Red Leather,,,"Fremont, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Fremont, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Fremont, CA",0
2020,Acura,TLX,0,43825,FWD,3.5L V-6,3.5L FWD with A-Spec Package,,,"Fremont, CA",0
2020,Acura,TLX,0,40825,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fremont, CA",0
2020,Acura,TLX,0,40825,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fremont, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Salt Lake City, UT",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Salt Lake City, UT",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Las Vegas, NV",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Henderson, NV",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Henderson, NV",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Henderson, NV",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,34395,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,34395,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,43825,FWD,3.5L V-6,3.5L FWD with A-Spec Package Red Leather,,,"Henderson, NV",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,40825,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Henderson, NV",0
2020,Acura,TLX,0,34395,FWD,2.4L Inline-4,2.4L FWD,,,"Henderson, NV",0
2020,Acura,TLX,0,43095,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Valencia, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Valencia, CA",0
2020,Acura,TLX,0,39595,SH-AWD,3.5L V-6,3.5L SH-AWD,,,"Valencia, CA",0
2020,Acura,TLX,0,50945,SH-AWD,3.5L V-6,3.5L SH-AWD with Advance Package,,,"Valencia, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Valencia, CA",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Valencia, CA",0
2020,Acura,TLX,0,34395,FWD,2.4L Inline-4,2.4L FWD,,,"Portland, OR",0
2020,Acura,TLX,0,43095,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Portland, OR",0
2020,Acura,TLX,0,38095,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Portland, OR",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Portland, OR",0
2020,Acura,TLX,0,43095,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Portland, OR",0
2020,Acura,TLX,0,38095,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Portland, OR",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Portland, OR",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Portland, OR",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Portland, OR",0
2020,Acura,TLX,0,40825,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Portland, OR",0
2020,Acura,TLX,0,38095,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Alhambra, CA",0
2020,Acura,TLX,0,46195,SH-AWD,3.5L V-6,3.5L SH-AWD with A-Spec Package,,,"Alhambra, CA",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Alhambra, CA",0
2020,Acura,TLX,0,50945,SH-AWD,3.5L V-6,3.5L SH-AWD with Advance Package,,,"Alhambra, CA",0
2020,Acura,TLX,0,46195,SH-AWD,3.5L V-6,3.5L SH-AWD with A-Spec Package,,,"Alhambra, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Riverside, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Riverside, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Riverside, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Riverside, CA",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Riverside, CA",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Riverside, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Riverside, CA",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Riverside, CA",0
2020,Acura,TLX,0,41495,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Riverside, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Temecula, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Temecula, CA",0
2020,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Temecula, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Temecula, CA",0
2020,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Temecula, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Temecula, CA",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Temecula, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Temecula, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Littleton, CO",0
2020,Acura,TLX,0,43125,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Littleton, CO",0
2020,Acura,TLX,0,43495,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Littleton, CO",0
2020,Acura,TLX,0,40795,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Colorado Springs, CO",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Colorado Springs, CO",0
2020,Acura,TLX,0,41125,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Colorado Springs, CO",0
2020,Acura,TLX,0,37225,FWD,3.5L V-6,3.5L FWD,,,"Peoria, AZ",0
2020,Acura,TLX,0,43825,FWD,3.5L V-6,3.5L FWD with A-Spec Package Red Leather,,,"Peoria, AZ",0
2020,Acura,TLX,0,37225,FWD,3.5L V-6,3.5L FWD,,,"Peoria, AZ",0
2020,Acura,TLX,0,37225,FWD,3.5L V-6,3.5L FWD,,,"Peoria, AZ",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Peoria, AZ",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Tempe, AZ",0
2020,Acura,TLX,0,44225,FWD,3.5L V-6,3.5L FWD with A-Spec Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,41125,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,45825,SH-AWD,3.5L V-6,3.5L SH-AWD with A-Spec Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,43795,FWD,3.5L V-6,3.5L FWD with A-Spec Package Red Leather,,,"Tempe, AZ",0
2020,Acura,TLX,0,46195,SH-AWD,3.5L V-6,3.5L SH-AWD with A-Spec Package Red Leather,,,"Tempe, AZ",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Tempe, AZ",0
2020,Acura,TLX,0,41125,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Tempe, AZ",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,34395,FWD,2.4L Inline-4,2.4L FWD,,,"Tempe, AZ",0
2020,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,43825,FWD,3.5L V-6,3.5L FWD with A-Spec Package Red Leather,,,"Tempe, AZ",0
2020,Acura,TLX,0,43795,FWD,3.5L V-6,3.5L FWD with A-Spec Package Red Leather,,,"Tempe, AZ",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Tempe, AZ",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Tempe, AZ",0
2020,Acura,TLX,0,34425,FWD,2.4L Inline-4,2.4L FWD,,,"Tempe, AZ",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Tempe, AZ",0
2020,Acura,TLX,0,41125,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Tempe, AZ",0
2020,Acura,TLX,0,50945,SH-AWD,3.5L V-6,3.5L SH-AWD PMC Edition,,,"Tucson, AZ",0
2020,Acura,TLX,0,43795,FWD,3.5L V-6,3.5L FWD with A-Spec Package Red Leather,,,"Tucson, AZ",0
2020,Acura,TLX,0,43825,FWD,3.5L V-6,3.5L FWD with A-Spec Package,,,"Tucson, AZ",0
2020,Acura,TLX,0,43125,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Tucson, AZ",0
2020,Acura,TLX,0,50945,SH-AWD,3.5L V-6,3.5L SH-AWD PMC Edition,,,"Minneapolis, MN",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Oklahoma City, OK",0
2020,Acura,TLX,0,43095,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Oklahoma City, OK",0
2020,Acura,TLX,0,41125,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Oklahoma City, OK",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Oklahoma City, OK",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Oklahoma City, OK",0
2020,Acura,TLX,0,39195,SH-AWD,3.5L V-6,3.5L SH-AWD,,,"Oklahoma City, OK",0
2020,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Oklahoma City, OK",0
2019,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Alhambra, CA",0
2019,Acura,TLX,0,43095,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Alhambra, CA",0
2019,Acura,TLX,0,43095,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Alhambra, CA",0
2019,Acura,TLX,0,43795,FWD,3.5L V-6,3.5L FWD with A-Spec Package,,,"Alhambra, CA",0
2019,Acura,TLX,0,45795,SH-AWD,3.5L V-6,3.5L SH-AWD with A-Spec Package,,,"Alhambra, CA",0
2019,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Alhambra, CA",0
2019,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Alhambra, CA",0
2019,Acura,TLX,0,43795,FWD,3.5L V-6,3.5L FWD with A-Spec Package,,,"Portland, OR",0
2019,Acura,TLX,0,44945,FWD,3.5L V-6,3.5L FWD with Advance Package,,,"Portland, OR",0
2019,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Portland, OR",0
2019,Acura,TLX,0,43095,SH-AWD,3.5L V-6,3.5L SH-AWD with Technology Package,,,"Alhambra, CA",0
